ra,dec,m,M,pop,ts_ra,ts_dec,ts_mag_r,ts_idtruth,ts_redshift,ts_flux_r,angsep_arcsec,theta_deg
68.03767826827966,-40.55396692960359,23.835786698077463,-18.39534516347519,1.0,68.0366691,-40.5550182,28.5442008972168,9812960928_1,0.5172299742698669,13.878000259399414,4.684264035666256,36.10581921557922
58.45160059413982,-32.90587832094235,19.820295259549116,-19.35127774193595,1.0,58.4515715,-32.9061141,25.807300567626957,5000026223_1,0.1576959937810897,172.60899353027344,0.8533474146944239,5.9146666529307135
55.452186927095354,-37.74211185557477,22.117488596619378,-20.819032084312557,1.0,55.4524445,-37.7425414,28.71949958801269,7813193635_1,0.5979800224304199,11.808799743652344,1.7113996236713835,334.6305540451886
67.6105959169039,-38.58364776930618,21.79548110752402,-20.957740714267075,1.0,67.6106995,-38.5836032,27.466699600219727,9000586006_1,0.5704960227012634,37.4380989074707,0.3327360162622022,241.16995677272763
56.2550998184928,-39.84623430867798,24.404574403391727,-18.569928241270517,1.0,56.2561462,-39.8464147,24.17110061645508,9563515687_1,0.704721987247467,779.0449829101562,2.964166222419285,282.6550483283296
66.07769138344302,-36.71854616928145,24.559994730114752,-18.761221708320377,1.0,66.077289,-36.718481,28.135499954223636,7063773530_1,0.74754399061203,20.22010040283203,1.1846207967473326,101.42283807142167
61.432954321499004,-34.26262776809398,24.280997033953007,-15.814583990239468,1.0,61.4336439,-34.2616833,26.47050094604492,6000054537_1,0.2304250001907348,93.714599609375,3.971151534639997,211.1076598270776
64.24182682510964,-33.20444321358676,22.492464169101495,-25.870347438775703,2.0,64.24182682510964,-33.20444321358676,,,5.036335450174712,,0.0,23.023895803553206
68.27703293454759,-40.99367391027698,21.634778604513368,-24.43252718357734,2.0,68.2770224,-40.9935861,28.549999237060547,10633785949_1,1.9191099405288696,13.804100036621094,0.3174103441864548,174.82593453646425
62.66294923697169,-36.956756442536694,22.985563832743956,-25.777127493280844,2.0,62.6629492369717,-36.95675644253669,,,5.895834202540034,,0.0,351.89825030800085
56.918723441815764,-38.23027746117539,21.883009708969887,-24.84714090451461,2.0,56.9187842,-38.2303261,28.60849952697754,8768639876_1,2.7523601055145264,13.079500198364258,0.2453192297123082,315.54188831397266
56.37372416637788,-39.13509546139953,23.033794323563473,-24.531093757174144,2.0,56.37372416637788,-39.13509546139953,,,3.690840388465437,,0.0,121.73722266126443
68.26777013291483,-31.056541372897435,23.72355482124794,-24.696648958837645,2.0,68.26777013291483,-31.05654137289744,,,5.151145713023395,,0.0,346.16525563493946
59.23173539880862,-35.692808078108996,22.618611433336227,-19.389393270112464,2.0,59.231201,-35.6928582,27.117300033569336,6937922844_1,0.4742150008678436,51.65039825439453,1.572840101843332,83.41258552963363
58.768332063652764,-32.36284684145992,22.263674729893182,-24.408097604186736,2.0,58.768403,-32.3630286,24.95949935913086,4204118941_1,2.5557899475097656,376.89300537109375,0.6889684023973071,341.75477606964535
63.31237598189819,-34.896228389124154,24.246202800501678,-24.21950462760725,2.0,63.312375981898185,-34.89622838912415,,,5.244123431990732,,0.0,338.8959736943395
62.43392476633501,-35.59506974566014,21.998489424785394,-25.59379587773287,2.0,62.43392476633501,-35.59506974566014,,,3.730149607566129,,0.0,287.71293144686103
66.12556512601273,-36.20335800116658,22.013694476892287,-22.959083621093153,2.0,66.1269195,-36.2023375,27.205699920654297,7066970830_1,1.3750699758529663,47.61280059814453,5.382960824171957,226.9612572720448
59.12537288783435,-33.097624023509404,22.919341771574178,-23.817428826041283,2.0,59.1259081,-33.0980684,28.93930053710937,5956418230_1,2.823620080947876,9.644379615783691,2.272579775337978,314.7436679849809
62.96304558931913,-36.087683921725066,23.547263602251785,-24.742774257082555,2.0,62.96304558931914,-36.087683921725066,,,4.89460199079663,,0.0,105.48730242280682
58.52239003163252,-38.278200496388735,22.771227095876874,-25.82724890126068,2.0,58.52239003163252,-38.278200496388735,,,5.525606558857069,,0.0,305.61967991265055
55.31333690383715,-30.210691652271738,23.06519009796364,-25.52925257975726,2.0,55.31333690383715,-30.210691652271738,,,5.516826160013511,,0.0,222.43560909030856
65.08080540355728,-35.473031288638225,24.621743045470566,-24.48172110921068,2.0,65.08080540355728,-35.473031288638225,,,6.749551912368686,,0.0,4.765268793203816
58.73705113145004,-30.70636953991485,20.203911719630284,-24.156743362839947,2.0,58.7363537,-30.7059496,26.27199935913086,4190841024_1,1.1737099885940552,112.51100158691406,2.635459009254478,125.00406645559904
65.0515166894297,-30.93737253245271,23.563557327682915,-25.8554430037399,2.0,65.0515166894297,-30.9373725324527,,,7.655860909957388,,0.0,53.330709941339414
60.80161056681925,-36.93480054286558,21.86540150779012,-23.315752740796714,2.0,60.8017874,-36.9360332,28.859399795532227,7942589852_1,1.4138200283050537,10.381199836730955,4.4666441356566695,353.45858033457114
65.47287907277146,-40.29236211909894,23.567606463393552,-24.700548389858334,2.0,65.47287907277146,-40.29236211909894,,,4.852805908916746,,0.0,172.2133105343957
55.58834377057065,-38.758402671534995,22.487510893213333,-21.18758206528529,2.0,55.5883428,-38.7583565,28.44339942932129,8689378134_1,0.8778740167617798,15.227800369262695,0.1662398555981286,179.06089157951857
60.05737831032587,-31.532519881387728,24.26420071537566,-24.49144626020509,2.0,60.057378310325866,-31.532519881387724,,,5.879430185156509,,0.0,230.2101059035405
61.5331288929947,-37.76850172487617,15.82352055330054,-25.82036097361828,2.0,61.5321401,-37.7677807,27.395099639892575,7937733633_1,0.3907920122146606,39.9901008605957,3.828262156762491,132.6904582066623
62.46695021207385,-32.65610701930701,22.63028470829633,-24.547709471912235,2.0,62.4666059,-32.6563565,28.38249969482422,5145284669_1,2.979340076446533,16.107099533081055,1.3768460717505753,49.284097806815616
58.02809443047748,-40.17738094613932,22.10048672863171,-23.380810137660422,2.0,58.0297694,-40.1780041,26.868099212646484,9631821220_1,1.641070008277893,64.97470092773438,5.12427581962481,295.9623839499284
64.48784660274056,-37.46270810046837,19.21896030909913,-24.05659905593688,2.0,64.4875826,-37.4627913,27.49410057067871,8001265306_1,0.7778139710426331,36.50569915771485,0.8116715584139788,68.34524828499286
67.51264660841223,-40.96448528739117,23.92818240175216,-21.89250957479282,2.0,67.5126579,-40.9643656,28.546499252319336,9820347177_1,1.8524800539016724,13.847800254821776,0.4319665824579859,184.07483371672416
